iter	Passed	Remaining
0	318	63417
1	523	51819
2	721	47396
3	895	43866
4	1253	48897
5	1455	47064
6	1633	45033
7	1789	42954
8	1947	41330
9	2085	39628
10	2246	38593
11	2407	37721
12	2557	36784
13	2717	36099
14	2869	35393
15	3028	34830
16	3186	34300
17	3463	35018
18	3741	35642
19	3955	35599
20	4143	35320
21	4308	34861
22	4582	35266
23	4805	35243
24	4973	34811
25	5145	34433
26	5310	34028
27	5464	33567
28	5692	33565
29	5951	33724
30	6147	33512
31	6362	33403
32	6523	33014
33	6676	32595
34	7026	33123
35	7238	32973
36	7434	32750
37	7620	32487
38	7791	32163
39	7955	31822
40	8111	31456
41	8253	31048
42	8401	30675
43	8561	30353
44	8819	30379
45	9037	30255
46	9209	29979
47	9376	29690
48	9547	29420
49	9803	29409
50	10107	29530
51	10264	29215
52	10567	29309
53	10799	29199
54	11003	29009
55	11172	28729
56	11333	28434
57	11496	28145
58	11662	27872
59	11967	27924
60	12194	27788
61	12395	27590
62	12616	27434
63	12884	27378
64	13091	27190
65	13266	26935
66	13532	26863
67	13732	26656
68	13909	26407
69	14078	26146
70	14232	25858
71	14565	25893
72	14785	25722
73	14994	25531
74	15184	25308
75	15364	25068
76	15536	24818
77	15699	24555
78	15963	24450
79	16173	24259
80	16371	24051
81	16660	23974
82	16926	23860
83	17226	23788
84	17508	23687
85	17723	23494
86	17916	23271
87	18107	23045
88	18284	22804
89	18583	22712
90	18853	22582
91	19063	22378
92	19252	22151
93	19455	21938
94	19640	21707
95	19829	21482
96	19994	21231
97	20134	20956
98	20288	20698
99	20437	20437
100	20585	20177
101	20737	19924
102	20890	19673
103	21043	19424
104	21193	19175
105	21528	19091
106	21733	18889
107	21932	18682
108	22128	18474
109	22320	18262
110	22483	18027
111	22638	17787
112	22789	17546
113	22937	17303
114	23098	17073
115	23328	16893
116	23544	16702
117	23748	16503
118	23937	16293
119	24110	16073
120	24286	15856
121	24452	15633
122	24686	15454
123	24942	15287
124	25101	15060
125	25249	14829
126	25643	14739
127	25850	14540
128	26044	14334
129	26208	14112
130	26364	13886
131	26517	13660
132	26953	13577
133	27184	13389
134	27346	13166
135	27582	12979
136	27792	12780
137	27990	12575
138	28153	12355
139	28325	12139
140	28445	11902
141	28597	11680
142	28751	11460
143	28896	11237
144	29196	11074
145	29425	10883
146	29584	10666
147	29754	10454
148	29902	10235
149	30167	10055
150	30400	9865
151	30597	9662
152	30778	9454
153	30945	9243
154	31060	9017
155	31211	8803
156	31361	8589
157	31620	8405
158	31856	8214
159	32062	8015
160	32234	7808
161	32407	7601
162	32776	7440
163	32986	7240
164	33181	7038
165	33342	6829
166	33495	6618
167	33838	6445
168	34114	6257
169	34338	6059
170	34537	5857
171	34712	5650
172	34862	5441
173	35018	5232
174	35267	5038
175	35574	4851
176	35783	4649
177	35956	4444
178	36110	4236
179	36267	4029
180	36608	3842
181	36844	3643
182	37014	3438
183	37216	3236
184	37491	3039
185	37722	2839
186	37884	2633
187	38198	2438
188	38488	2240
189	38702	2036
190	38900	1833
191	39029	1626
192	39210	1422
193	39400	1218
194	39580	1014
195	39747	811
196	39919	607
197	40156	405
198	40273	202
199	40528	0
